steamId,releaseDate,year,month,firstTimeStamp,firstSales,monthlySalesGrowth
271590,2015-04-13,2018,2,2018-02-01 21:00:00,9283662,160664
271590,2015-04-13,2018,3,2018-03-01 21:00:00,9544692,261030
271590,2015-04-13,2018,4,2018-04-01 20:00:00,9799240,254548
271590,2015-04-13,2018,5,2018-05-01 20:00:00,9799396,156
271590,2015-04-13,2018,6,2018-06-01 20:00:00,9977772,178376
271590,2015-04-13,2018,7,2018-07-01 20:00:00,10262247,284475
271590,2015-04-13,2018,8,2018-08-01 09:00:00,10262403,156
271590,2015-04-13,2018,9,2018-09-01 20:00:00,10559114,296711
271590,2015-04-13,2018,10,2018-10-01 20:00:00,10676102,116988
271590,2015-04-13,2018,11,2018-11-01 20:00:00,11240176,564074
271590,2015-04-13,2018,12,2018-12-01 21:00:00,11439583,199407
271590,2015-04-13,2019,1,2019-01-01 21:00:00,11522348,82765
271590,2015-04-13,2019,2,2019-02-01 21:00:00,11610109,87761
271590,2015-04-13,2019,3,2019-03-01 21:00:00,11693872,83763
271590,2015-04-13,2019,4,2019-04-01 20:00:00,11812953,119081
271590,2015-04-13,2019,5,2019-05-01 20:00:00,11816499,3546
271590,2015-04-13,2019,6,2019-06-01 20:00:00,12085568,269069
271590,2015-04-13,2019,7,2019-07-01 20:00:00,12460798,375230
271590,2015-04-13,2019,8,2019-08-01 20:00:00,12562433,101635
271590,2015-04-13,2019,9,2019-09-01 20:00:00,12786211,223778
271590,2015-04-13,2019,10,2019-10-01 20:00:00,12788581,2370
271590,2015-04-13,2019,11,2019-11-01 20:00:00,13716447,927866
271590,2015-04-13,2019,12,2019-12-01 21:00:00,14535123,818676
271590,2015-04-13,2020,1,2020-01-01 21:00:00,15234958,699835
271590,2015-04-13,2020,2,2020-02-01 21:00:00,16466031,1231073
271590,2015-04-13,2020,3,2020-03-01 21:00:00,16471211,5180
271590,2015-04-13,2020,4,2020-04-01 10:00:00,17890994,1419783
271590,2015-04-13,2020,5,2020-05-01 20:00:00,17912478,21484
271590,2015-04-13,2020,6,2020-06-01 20:00:00,17934485,22007
271590,2015-04-13,2020,7,2020-07-01 20:00:00,18527488,593003
271590,2015-04-13,2020,8,2020-08-01 20:00:00,18531851,4363
271590,2015-04-13,2020,9,2020-09-01 20:00:00,18959093,427242
271590,2015-04-13,2020,10,2020-10-01 20:00:00,18969188,10095
