steamId,last_30_avg,tags,genres,features
658260,14.39,"['JRPG', 'Female Protagonist', 'RPG', 'Cute', 'Lore-Rich', 'LGBTQ+', 'Turn-Based Combat', 'Story Rich', 'Action', 'Anime', 'Colorful', 'Fantasy', 'Emotional', 'Adventure', 'Singleplayer', 'Nudity', 'Sexual Content', 'Great Soundtrack', 'Turn-Based', 'Casual']",['RPG'],"['Single-player', 'Steam Achievements', 'Family Sharing']"
482450,4.03,"['Anime', '2D Fighter', 'Fighting', 'PvP', 'Action', 'Arcade', 'Female Protagonist', 'Cute', 'Visual Novel', 'Multiplayer', 'Singleplayer', '2D', 'Ninja', 'Dark', 'Sexual Content', 'Nudity', 'Mature', 'Memes', 'Great Soundtrack', 'Psychological Horror']",['Action'],"['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together', 'Family Sharing']"
1369370,22.38,"['Simulation', 'Strategy', 'RTS', 'Wargame', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Military', '3D', 'Alternate History', 'Historical', 'Tactical', 'Tanks', 'War', 'PvP', 'Artificial Intelligence', 'Turn-Based Combat', 'Multiplayer', 'Singleplayer', 'Local Multiplayer', 'Combat']","['Simulation', 'Strategy']","['Single-player', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']"
32380,5.54,"['Action', 'FPS', 'Sci-fi', 'Classic', 'Third Person', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Space', 'Adventure', 'Great Soundtrack', 'FMV', 'Retro', ""1990's"", 'Boomer Shooter']",['Action'],"['Single-player', 'Shared/Split Screen PvP', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']"
272230,,"['Multiplayer', 'FPS', 'Action', 'Shooter', 'Early Access', 'Indie', 'Open World', 'Crime', 'First-Person', 'Simulation', 'Free to Play', 'Physics', 'Co-op', 'Online Co-Op', 'Massively Multiplayer', 'Funny', '1980s', 'Strategy', 'RPG', 'Casual']","['Action', 'Indie', 'Massively Multiplayer', 'Early Access']","['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Family Sharing']"
1175830,10.72,"['Exploration', 'RPG', 'JRPG', 'Action RPG', 'Real Time Tactics', 'Party-Based RPG', 'PvP', 'Strategy RPG', 'Action', 'Choices Matter', 'Nonlinear', 'Colorful', 'Fantasy', 'Magic', ""1990's"", 'Combat', 'Old School', 'Retro', 'Co-op', 'Local Co-Op']","['Action', 'RPG']","['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']"
6880,6.15,"['Action', 'Open World', 'Shooter', 'Third Person', 'Singleplayer', 'Adventure', 'Sandbox', 'Third-Person Shooter', 'Classic', 'Multiplayer', 'Controller', 'Atmospheric', 'Great Soundtrack', 'Action RPG', 'Violent', 'Funny', 'RPG']",['Action'],"['Single-player', 'Family Sharing']"
840720,10.68,"['RPG', 'Anime', 'Character Customization', 'Multiplayer', 'Open World', 'JRPG', 'Fantasy', 'Adventure', 'MMORPG', 'Action', 'Nudity', 'Singleplayer', 'Co-op', 'Hack and Slash', 'Action RPG', 'Story Rich']",['RPG'],"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']"
587110,11.8,"['Action', 'RPG', 'Action RPG', 'JRPG', 'Anime', 'Great Soundtrack', 'Singleplayer', 'Adventure', 'Fantasy', 'Hack and Slash']","['Action', 'RPG']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']"
351920,10.82,"['Simulation', 'Puzzle', 'Strategy', 'Physics', 'Sandbox', 'Singleplayer', 'Multiplayer', 'Building', 'Casual', 'Difficult']","['Simulation', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Family Sharing']"
