name,averageRevenue,medianRevenue,totalRevenue,publishedGames
"D20Studios, LLC",231620,231620,231620,1
Doorknob22,228983,228983,228983,1
WYLDERZONE,228660,228660,228660,1
GameHouse,32288.68888888889,19796,1452991,45
K Bros Games,42792.125,9772,342337,8
Nomad Games,733465.1379669264,50049,6601186.241702338,9
Meridian4,21680.636363636364,6722,715461,33
Silver Lemur Games,90126.2,60398,450631,5
Cyan Worlds Inc,605830.5,225153,6058305,10
Ancient Forge,150529.5,150529.5,301059,2
Dreadbit,227316,227316,227316,1
Duhndal,487349.06669315795,480169.2000794739,1462047.200079474,3
Firecast Studio,227249,227249,227249,1
Monstrum,82716.66666666667,16896,248150,3
MapleDorm Games,225224,225224,225224,1
Blankhans,233026,233026,233026,1
Hitori De Productions,235383,235383,235383,1
TERNOX,43368,5869,260208,6
Catos Game,228508,228508,228508,1
Zenz VR,82965.33333333333,20511,248896,3
Galdra Studios,225231,225231,225231,1
Gamers4Gamers Team,226017,226017,226017,1
Humble Sage Games,113299,113299,226598,2
Arrow Face Games,225551,225551,225551,1
Rain Games,154264.2,27256,771321,5
Flexible Media,107882.16666666667,81855,647293,6
Yogscast Games,1280526,187623,24329994,19
"D3Publisher of America, Inc.",523217.3333333333,625525,1569652,3
The Knights of Unity,415486.6013698369,190683.70273967372,1661946.4054793476,4
Choice Provisions,223641.6923076923,25116,2907342,13
NEKOTOKAGE GAMES,138800.5,138800.5,277601,2
"Thirdverse, Co., Ltd.",73524.20454161639,34117,294096.81816646556,4
Mirari&Co.,223307,223307,223307,1
HappyTall Game,224408,224408,224408,1
Ian Campbell,162384.5,162384.5,324769,2
Studio Maka,223340,223340,223340,1
Gratesca,515556,515556,1031112,2
Bitten Toast Games Inc.,152701.16666666666,6011,916207,6
Manka Games,224318,224318,224318,1
Ker,302281,302281,604562,2
Zaratustra Productions,223925,223925,223925,1
Teotl Studios,906997.5,906997.5,1813995,2
Insane Dreamers,42916.857142857145,6190,300418,7
Okron Studio,223924,223924,223924,1
Skydome Entertainment,223496,223496,223496,1
Radial Games Corp,325915.5,325915.5,651831,2
Argent Games,32872.72727272727,8417,361600,11
Japanime Digital,225040,225040,225040,1
Original Studios,265968,265968,265968,1
Pixel Edge Games,118990.66666666667,132722,356972,3
Whale Rock Games,29877,12609,806679,27
Merge Games,611690.5833333334,102190.5,14680574,24
BeardedBrothers.games,111154.5,111154.5,222309,2
"BitMonster, Inc.",1513153,1513153,3026306,2
