steamId,sales,timeStamp,releaseDate,days_since_release
2519060,400856.0,2023-12-10 22:43:46,2023-11-10,30
2527390,65200.0,2024-10-17 17:44:01,2024-09-19,28
2556990,10756.0,2024-07-24 16:50:56,2024-06-24,30
2582560,55849.0,2024-09-16 17:41:48,2024-08-17,30
2616430,10954.0,2024-04-06 01:19:59,2024-03-07,30
2616450,2481.0,2024-04-06 01:19:59,2024-03-07,30
2616460,49145.0,2024-04-06 22:02:28,2024-03-07,30
2634890,53588.0,2024-10-13 19:45:34,2024-09-13,30
2662630,24791.0,2024-07-04 21:00:06,2024-06-04,30
2698940,23563.0,2024-05-19 01:56:27,2024-04-19,30
2717880,11699.0,2024-06-27 23:48:49,2024-05-28,30
2741360,3345.0,2024-06-23 01:13:31,2024-05-25,29
2741560,34219.0,2024-04-06 02:30:43,2024-03-07,30
2741560,34336.0,2024-04-06 02:31:56,2024-03-07,30
2750080,15506.0,2024-04-26 01:39:38,2024-03-27,30
2751000,27358.0,2024-09-08 20:15:44,2024-08-09,30
2820110,3211.0,2024-05-22 20:17:15,2024-04-22,30
2820130,4720.0,2024-05-22 20:17:15,2024-04-22,30
2820140,4130.0,2024-05-22 20:17:15,2024-04-22,30
2840770,22536.0,2024-07-18 16:44:41,2024-06-18,30
2853730,30114.0,2024-09-22 20:33:57,2024-08-23,30
2878600,57456.0,2024-10-04 18:44:01,2024-09-04,30
2878980,348880.0,2024-10-05 20:19:17,2024-09-05,30
